timestamp,coureur,tour,secteur,temps_secteur,distance,vitesse_ms,vitesse_kmh,acceleration_ms2,faux_depart
2026-05-05T09:52:19.883677,Bob,1,1,4.5741,0.5,0.1093,0.3935,0.0,False
2026-05-05T09:52:20.171159,Alice,1,1,4.862,0.5,0.1028,0.3702,0.0,False
2026-05-05T09:52:22.772807,Bob,1,2,2.8834,1.2,0.4162,1.4982,0.1064,False
2026-05-05T09:52:24.646134,Alice,1,2,4.4694,1.2,0.2685,0.9666,0.0371,False
2026-05-05T09:52:25.753314,Alice,1,3,1.1038,1.2,1.0871,3.9137,0.7416,False
2026-05-05T09:52:27.422966,Bob,1,3,4.6476,1.2,0.2582,0.9295,-0.034,False
2026-05-05T09:52:29.605985,Alice,1,4,3.8514,1.2,0.3116,1.1217,-0.2014,False
2026-05-05T09:52:30.902574,Bob,1,4,3.4644,1.2,0.3464,1.247,0.0255,False
2026-05-05T09:52:31.813093,Alice,2,1,2.2047,0.5,0.2268,0.8164,0.0,False
2026-05-05T09:52:34.496100,Bob,2,1,3.5828,0.5,0.1396,0.5024,0.0,False
2026-05-05T09:52:35.704039,Alice,2,2,3.8869,1.2,0.3087,1.1114,0.0211,False
2026-05-05T09:52:37.073184,Alice,2,3,1.3668,1.2,0.878,3.1607,0.4165,False
2026-05-05T09:52:37.615403,Bob,2,2,3.1159,1.2,0.3851,1.3864,0.0788,False
2026-05-05T09:52:38.961365,Alice,2,4,1.8852,1.2,0.6365,2.2915,-0.1281,False
2026-05-05T09:52:41.373126,Alice,3,1,2.4097,0.5,0.2075,0.747,0.0,False
2026-05-05T09:52:42.465679,Bob,2,3,4.8477,1.2,0.2475,0.8912,-0.0284,False
2026-05-05T09:52:45.902768,Alice,3,2,4.528,1.2,0.265,0.9541,0.0127,False
2026-05-05T09:52:46.024318,Bob,2,4,3.5563,1.2,0.3374,1.2147,0.0253,False
2026-05-05T09:52:48.017602,Bob,3,1,1.985,0.5,0.2519,0.9068,0.0,False
2026-05-05T09:52:50.361102,Alice,3,3,4.4558,1.2,0.2693,0.9695,0.001,False
2026-05-05T09:52:51.481654,Bob,3,2,3.4598,1.2,0.3468,1.2486,0.0274,False
2026-05-05T09:52:53.447340,Alice,3,4,3.0834,1.2,0.3892,1.4011,0.0389,False
2026-05-05T09:52:55.169106,Bob,3,3,3.6856,1.2,0.3256,1.1721,-0.0058,False
2026-05-05T09:52:57.835055,Bob,3,4,2.6644,1.2,0.4504,1.6214,0.0468,False
